S.NO.,Name,Income_Limit,Category,Min_marks,Benefits,Documents Required,Start_date,End_date,Apply_link,Source_name,Source_link,Description
1,AP Post Matric Scholarship,250000,SC/ST,75,Full tuition fee + maintenance allowance,Aadhaar; Income Certificate; Caste Certificate; Marksheet,01-07-2026,30-09-2026,https://jnanabhumi.ap.gov.in,Jnanabhumi Portal,https://jnanabhumi.ap.gov.in,Scholarship for SC/ST students in Andhra Pradesh
2,YSR Vidya Deevena,250000,General,70,Full fee reimbursement,Aadhaar; Income Certificate; Bonafide Certificate,01-08-2026,15-10-2026,https://navasakam.ap.gov.in,Navasakam Portal,https://navasakam.ap.gov.in,AP government fee reimbursement scheme
3,Central Sector Scholarship,800000,General,80,₹10000 per year,Aadhaar; Income Certificate; Marksheet,01-06-2026,31-08-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Merit-based central government scholarship
4,AICTE Pragati Scholarship,800000,General,60,₹50000 per year,Aadhaar; Income Certificate; Admission Proof,15-07-2026,15-09-2026,https://aicte-india.org,AICTE,https://aicte-india.org,Scholarship for girl students in technical education
5,AICTE Saksham Scholarship,800000,General,60,₹50000 per year,Disability Certificate; Aadhaar; Income Certificate,15-07-2026,15-09-2026,https://aicte-india.org,AICTE,https://aicte-india.org,Support for differently-abled students
6,INSPIRE Scholarship,500000,General,85,₹80000 per year,Marksheet; Aadhaar; Bank Details,01-05-2026,31-07-2026,https://online-inspire.gov.in,Department of Science and Technology India,https://online-inspire.gov.in,Scholarship for science students
7,National Means Cum Merit Scholarship,150000,EBC,55,₹12000 per year,Aadhaar; Income Certificate; School Certificate,01-04-2026,30-06-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Supports economically weaker students
8,Post Matric Scholarship (UP),200000,OBC,60,Fee reimbursement + stipend,Aadhaar; Income Certificate; Caste Certificate,01-08-2026,10-10-2026,https://scholarship.up.gov.in,Government of Uttar Pradesh,https://scholarship.up.gov.in,Scholarship for OBC students
9,Chevening Scholarship,No Limit,General,75,Full tuition + travel + stipend,Passport; Degree Certificates; Recommendation Letters,01-08-2026,01-11-2026,https://www.chevening.org,UK Government,https://www.chevening.org,UK government global scholarship
10,DAAD Scholarship,No Limit,General,70,Monthly stipend + travel,Passport; Academic Records; Language Certificate,01-09-2026,01-12-2026,https://daad.de,DAAD,https://daad.de,Germany-based scholarship
11,MEXT Scholarship,No Limit,General,75,Full tuition + allowance,Passport; Academic Records; Medical Certificate,01-04-2026,31-05-2026,https://www.studyinjapan.go.jp,MEXT,https://www.studyinjapan.go.jp,Japanese government scholarship
12,Australia Awards Scholarship,No Limit,General,70,Full tuition + living expenses,Passport; Academic Records; Work Experience,15-04-2026,30-06-2026,https://www.australiaawards.gov.au,Australian Government,https://www.australiaawards.gov.au,Scholarship to study in Australia
13,Eiffel Excellence Scholarship,No Limit,General,80,Monthly allowance + travel,Passport; Academic Records; CV,01-10-2025,15-01-2026,https://www.campusfrance.org,Campus France,https://www.campusfrance.org,French government excellence scholarship
14,Chinese Government Scholarship,No Limit,General,70,Full tuition + accommodation,Passport; Academic Records; Medical Form,01-12-2025,31-03-2026,https://www.campuschina.org,China Scholarship Council,https://www.campuschina.org,Scholarship for studying in China
15,Swiss Government Excellence Scholarship,No Limit,General,85,Monthly stipend + tuition waiver,Passport; Research Proposal; CV,01-09-2026,15-12-2026,https://www.sbfi.admin.ch,Swiss Government,https://www.sbfi.admin.ch,Research scholarship in Switzerland
16,Telangana Post Matric Scholarship (PMS),200000,SC/ST/OBC,60,Full fee reimbursement + maintenance allowance,Aadhaar; Income; Caste; Bonafide,01-07-2026,15-10-2026,https://telanganaepass.cgg.gov.in,Telangana ePASS,https://telanganaepass.cgg.gov.in,For students after Class 10 pursuing higher education
17,Telangana Pre Matric Scholarship,200000,SC/ST/OBC,50,₹1000/month,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://telanganaepass.cgg.gov.in,Telangana ePASS,https://telanganaepass.cgg.gov.in,For school students (Class 5–10)
18,Telangana BC/EBC Post Matric Scholarship,150000,OBC/EBC,55,Fee reimbursement + stipend,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://telanganaepass.cgg.gov.in,Backward Classes Welfare Department Telangana,https://telanganaepass.cgg.gov.in,For backward and economically weaker classes
19,Telangana Minority Scholarship,200000,Minority,55,₹10000/year,Aadhaar; Income; Minority Cert,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Minorities Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Financial support for minority students
20,Telangana Disabled Welfare Scholarship,100000,General,50,₹15000/year,Disability Cert; Aadhaar; Income,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Disabled Welfare Department Telangana,https://telanganaepass.cgg.gov.in,For physically challenged students
21,Telangana Overseas Scholarship (Ambedkar Overseas Vidya Nidhi),800000,SC/ST,70,Up to ₹20 lakhs,Passport; Income; Caste; Degree,01-03-2026,31-05-2026,https://telanganaepass.cgg.gov.in,Scheduled Castes Development Department Telangana,https://telanganaepass.cgg.gov.in,Study abroad support for SC/ST students
22,Mahatma Jyothiba Phule Overseas Vidya Nidhi,600000,OBC/EBC,70,Up to ₹20 lakhs,Passport; Income; Caste; Degree,01-03-2026,31-05-2026,https://telanganaepass.cgg.gov.in,Backward Classes Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Overseas education for OBC/EBC students
23,Telangana Minority Overseas Scholarship,600000,Minority,70,Up to ₹20 lakhs,Passport; Income; Minority Cert,01-03-2026,31-05-2026,https://telanganaepass.cgg.gov.in,Minorities Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Study abroad for minority students
24,Telangana Fee Reimbursement Scheme,200000,SC/ST/OBC/EBC,60,Full tuition fee,Aadhaar; Income; Caste; Admission Proof,01-07-2026,15-10-2026,https://telanganaepass.cgg.gov.in,Telangana Government,https://telanganaepass.cgg.gov.in,Covers tuition for professional courses
25,Telangana Skill Development Scholarship,300000,SC/ST/OBC,50,Training + stipend,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://telanganaepass.cgg.gov.in,Telangana Government,https://telanganaepass.cgg.gov.in,Skill-based training support
26,Merit Cum Means Scholarship,250000,Minority,60,₹20000/year,Aadhaar; Income; Minority Cert,01-06-2026,31-08-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Scholarship for minority students
27,Begum Hazrat Mahal Scholarship,200000,Minority Girls,50,₹5000/year,Aadhaar; Income; School Cert,01-05-2026,31-07-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,For minority girl students
28,Ishan Uday Scholarship,450000,NE Region,60,₹7800/month,Aadhaar; Domicile; Marksheet,01-07-2026,31-10-2026,https://scholarships.gov.in,University Grants Commission,https://scholarships.gov.in,For North East students
29,PG Indira Gandhi Scholarship,No Limit,Girls,65,₹36000/year,Aadhaar; Admission Proof,01-08-2026,15-10-2026,https://scholarships.gov.in,University Grants Commission,https://scholarships.gov.in,PG scholarship for single girl child
30,KVPY Fellowship,No Limit,Science,75,₹7000/month,Marksheet; Aadhaar,01-06-2026,31-08-2026,https://kvpy.iisc.ac.in,Indian Institute of Science,https://kvpy.iisc.ac.in,Science research fellowship
31,LIC Golden Jubilee Scholarship,300000,All,60,₹20000/year,Aadhaar; Income,01-07-2026,30-09-2026,https://licindia.in,Life Insurance Corporation of India,https://licindia.in,Scholarship for economically weaker students
32,Tata Scholarship,No Limit,All,70,Full funding,Academic Records; SOP,01-09-2026,01-12-2026,https://www.tatatrusts.org,Tata Trusts,https://www.tatatrusts.org,Private funded scholarship
33,Aditya Birla Scholarship,No Limit,Merit,85,₹180000/year,Academic Records,01-08-2026,15-09-2026,https://www.adityabirlascholars.net,Aditya Birla Group,https://www.adityabirlascholars.net,Merit-based private scholarship
34,HDFC Scholarship,250000,All,55,₹75000/year,Aadhaar; Income,01-06-2026,31-08-2026,https://www.hdfcbank.com,HDFC Bank,https://www.hdfcbank.com,Scholarship for financially weak students
35,Sitaram Jindal Scholarship,No Limit,All,50,₹3200/month,Income; Marksheet,01-05-2026,30-09-2026,https://www.sitaramjindalfoundation.org,Sitaram Jindal Foundation,https://www.sitaramjindalfoundation.org,Support for students across India
36,Siemens Scholarship,No Limit,Engineering,70,Full fee,Academic Records,01-07-2026,30-09-2026,https://www.siemens.co.in,Siemens,https://www.siemens.co.in,Engineering scholarship
37,Google Generation Scholarship,No Limit,Tech,75,$10000,Academic; Essay,01-04-2026,30-06-2026,https://buildyourfuture.withgoogle.com,Google,https://buildyourfuture.withgoogle.com,For tech students
38,Microsoft Scholarship,No Limit,Tech,80,Full funding,Academic; Resume,01-05-2026,31-07-2026,https://careers.microsoft.com,Microsoft,https://careers.microsoft.com,Global tech scholarship
39,Reliance Foundation Scholarship,600000,All,60,₹200000/year,Aadhaar; Income,01-07-2026,30-09-2026,https://www.reliancefoundation.org,Reliance Foundation,https://www.reliancefoundation.org,Financial aid for students
40,Infosys Foundation Scholarship,No Limit,Merit,75,₹100000/year,Academic Records,01-08-2026,15-10-2026,https://www.infosys.com,Infosys,https://www.infosys.com,Merit-based support
41,Wipro Scholarship,No Limit,All,70,₹50000/year,Academic Records,01-07-2026,30-09-2026,https://www.wipro.com,Wipro,https://www.wipro.com,Private scholarship
42,ONGC Scholarship,450000,All,60,₹48000/year,Aadhaar; Income,01-06-2026,31-08-2026,https://ongcindia.com,ONGC,https://ongcindia.com,Scholarship for students in engineering
43,NTPC Scholarship,400000,SC/ST,55,₹36000/year,Aadhaar; Caste; Income,01-06-2026,31-08-2026,https://ntpc.co.in,NTPC Limited,https://ntpc.co.in,For SC/ST engineering students
44,AICTE PG Scholarship (GATE/GPAT),No Limit,Technical,65,₹12400/month,GATE Scorecard; Aadhaar,01-06-2026,31-08-2026,https://aicte-india.org,AICTE,https://aicte-india.org,PG scholarship for GATE/GPAT qualified students
45,UGC NET JRF Fellowship,No Limit,Research,70,₹31000/month,NET Scorecard; Aadhaar,01-07-2026,30-09-2026,https://ugcnet.nta.nic.in,University Grants Commission,https://ugcnet.nta.nic.in,Fellowship for research scholars
46,Prime Minister Research Fellowship (PMRF),No Limit,Research,85,₹70000/month,Academic Records; Proposal,01-05-2026,31-07-2026,https://pmrf.in,PMRF India,https://pmrf.in,Fellowship for PhD students
47,Kishore Vaigyanik Protsahan Yojana (KVPY-SA),No Limit,Science,75,₹5000/month,Marksheet; Aadhaar,01-06-2026,15-08-2026,https://kvpy.iisc.ac.in,Indian Institute of Science,https://kvpy.iisc.ac.in,Encourages students for science research
48,Maulana Azad National Fellowship,No Limit,Minority,60,₹25000/month,Minority Cert; Aadhaar,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Fellowship for minority students
49,National Fellowship for OBC Students,No Limit,OBC,60,₹28000/month,Caste; Aadhaar,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Fellowship for OBC students
50,Dr. Ambedkar Central Sector Scheme,300000,OBC,55,₹20000/year,Aadhaar; Income; Caste,01-07-2026,31-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Financial aid for OBC students
51,NEC Merit Scholarship,800000,NE Region,60,₹20000/year,Domicile; Aadhaar,01-07-2026,15-10-2026,https://necouncil.gov.in,North Eastern Council,https://necouncil.gov.in,Merit scholarship for NE students
52,JN Tata Endowment Scholarship,No Limit,All,70,Loan scholarship,Academic; SOP,01-03-2026,31-05-2026,https://jntataendowment.org,J N Tata Endowment,https://jntataendowment.org,Loan-based scholarship for higher studies abroad
53,Narotam Sekhsaria Scholarship,No Limit,All,75,Loan scholarship,Academic; Interview,01-01-2026,31-03-2026,https://www.narotamseksariafoundation.org,Narotam Sekhsaria Foundation,https://www.narotamseksariafoundation.org,Interest-free loan scholarship
54,Inlaks Shivdasani Foundation Scholarship,No Limit,All,75,Full funding,Academic; SOP,01-02-2026,30-04-2026,https://www.inlaksfoundation.org,Inlaks Foundation,https://www.inlaksfoundation.org,Scholarship for study abroad
55,Rhodes Scholarship,No Limit,All,80,Full funding,Academic; LOR; Interview,01-06-2026,31-08-2026,https://www.rhodeshouse.ox.ac.uk,Rhodes Trust,https://www.rhodeshouse.ox.ac.uk,Prestigious scholarship to Oxford
56,Commonwealth Scholarship,No Limit,All,70,Full funding,Academic; LOR,01-08-2026,15-10-2026,https://cscuk.fcdo.gov.uk,Commonwealth Scholarship Commission,https://cscuk.fcdo.gov.uk,UK scholarship for Commonwealth countries
57,Fulbright-Nehru Scholarship,No Limit,All,75,Full funding,Academic; SOP; GRE,01-05-2026,31-07-2026,https://www.usief.org.in,United States-India Educational Foundation,https://www.usief.org.in,US-India scholarship program
58,Stanford Reliance Dhirubhai Fellowship,No Limit,All,80,Full funding,Academic; Essay,01-04-2026,31-05-2026,https://www.gsb.stanford.edu,Stanford Graduate School of Business,https://www.gsb.stanford.edu,MBA scholarship
59,Oxford-Weidenfeld Scholarship,No Limit,All,75,Full funding,Academic; Essay,01-01-2026,31-03-2026,https://www.ox.ac.uk,University of Oxford,https://www.ox.ac.uk,Scholarship for leadership programs
60,Gates Cambridge Scholarship,No Limit,All,85,Full funding,Academic; LOR,01-09-2026,01-12-2026,https://www.gatescambridge.org,Gates Cambridge Trust,https://www.gatescambridge.org,Fully funded Cambridge scholarship
61,Erasmus Mundus Scholarship,No Limit,All,70,Full funding,Academic; SOP,01-10-2026,15-01-2027,https://erasmus-plus.ec.europa.eu,European Commission,https://erasmus-plus.ec.europa.eu,EU-funded international program
62,Asian Development Bank Scholarship,No Limit,All,70,Full funding,Academic; Work Exp,01-03-2026,31-05-2026,https://www.adb.org,Asian Development Bank,https://www.adb.org,Scholarship for developing countries
63,Rotary Foundation Global Grant,No Limit,All,65,Full funding,Academic; Proposal,01-02-2026,15-05-2026,https://www.rotary.org,Rotary Foundation,https://www.rotary.org,International scholarship program
64,Post Graduate Merit Scholarship for University Rank Holders,No Limit,Merit,85,₹3100/month,Marksheet; Rank Certificate,01-07-2026,30-09-2026,https://scholarships.gov.in,University Grants Commission,https://scholarships.gov.in,For university rank holders
65,National Overseas Scholarship,800000,SC/ST,60,Full funding abroad,Passport; Income; Caste,01-03-2026,31-05-2026,https://nosmsje.gov.in,Ministry of Social Justice and Empowerment,https://nosmsje.gov.in,Study abroad for SC/ST students
66,Top Class Education Scheme for SC Students,800000,SC,60,Full tuition + stipend,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Support for top institutions
67,Pre-Matric Scholarship for SC Students,250000,SC,50,₹500/month,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,School-level support
68,Pre-Matric Scholarship for OBC Students,250000,OBC,50,₹400/month,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Financial aid for OBC school students
69,Pre-Matric Scholarship for Minority Students,100000,Minority,50,₹600/month,Aadhaar; Income; Minority Cert,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Support for minority students
70,NEC Stipend Scheme,800000,NE Region,55,₹2000/month,Domicile; Aadhaar,01-06-2026,30-09-2026,https://necouncil.gov.in,North Eastern Council,https://necouncil.gov.in,Stipend for NE students
71,IIT Madras Inspire Scholarship,No Limit,All,85,₹80000/year,Marksheet; Admission Proof,01-07-2026,30-09-2026,https://www.iitm.ac.in,IIT Madras,https://www.iitm.ac.in,Scholarship for science students
72,Delhi University Scholarship Scheme,400000,All,65,₹15000/year,Income; Marksheet,01-07-2026,15-09-2026,https://www.du.ac.in,University of Delhi,https://www.du.ac.in,Financial aid for DU students
73,Jadavpur University Scholarship,300000,All,60,₹12000/year,Income; Academic Records,01-07-2026,15-09-2026,https://www.jaduniv.edu.in,Jadavpur University,https://www.jaduniv.edu.in,Aid for university students
74,State Merit Scholarship (Kerala),100000,All,80,₹5000/year,Income; Marksheet,01-06-2026,31-08-2026,https://dcescholarship.kerala.gov.in,Kerala Directorate of Collegiate Education,https://dcescholarship.kerala.gov.in,State merit scholarship
75,Tamil Nadu First Graduate Scholarship,250000,All,60,Full fee waiver,Income; First Graduate Proof,01-07-2026,30-09-2026,https://www.tn.gov.in,Government of Tamil Nadu,https://www.tn.gov.in,For first-generation graduates
76,Karnataka Vidyasiri Scholarship,200000,SC/ST/OBC,55,₹1500/month,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://ssp.postmatric.karnataka.gov.in,Karnataka State Scholarship Portal,https://ssp.postmatric.karnataka.gov.in,Hostel + scholarship support
77,Maharashtra EBC Scholarship,800000,EBC,60,Fee reimbursement,Aadhaar; Income,01-06-2026,30-09-2026,https://mahadbt.maharashtra.gov.in,MahaDBT Portal,https://mahadbt.maharashtra.gov.in,For economically backward class
78,West Bengal Swami Vivekananda Scholarship,250000,All,60,₹12000/year,Income; Marksheet,01-06-2026,31-08-2026,https://svmcm.wbhed.gov.in,Government of West Bengal,https://svmcm.wbhed.gov.in,Merit-cum-means scholarship
79,Telangana ePass Scholarship,200000,SC/ST/OBC,55,Fee reimbursement,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://telanganaepass.cgg.gov.in,Telangana ePASS,https://telanganaepass.cgg.gov.in,State scholarship portal
80,Odisha Scholarship Portal Scheme,250000,All,55,₹10000/year,Income; Marksheet,01-06-2026,30-09-2026,https://scholarship.odisha.gov.in,Government of Odisha,https://scholarship.odisha.gov.in,Multiple schemes under one portal
81,Bihar Post Matric Scholarship,300000,SC/ST/OBC,55,Fee reimbursement,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://pmsonline.bih.nic.in,Government of Bihar,https://pmsonline.bih.nic.in,State-level post matric support
82,Gujarat Mukhyamantri Yuva Swavalamban Yojana,600000,All,80,₹100000/year,Income; Academic Records,01-06-2026,31-08-2026,https://mysy.guj.nic.in,Government of Gujarat,https://mysy.guj.nic.in,Merit-based state scheme
83,Rajasthan Scholarship Scheme,250000,SC/ST/OBC,55,₹15000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://sje.rajasthan.gov.in,Government of Rajasthan,https://sje.rajasthan.gov.in,Financial aid for students
84,AICTE Doctoral Fellowship (ADF),No Limit,Research,75,₹31000/month + HRA,GATE/NET Scorecard; Aadhaar,01-06-2026,31-08-2026,https://aicte-india.org,AICTE,https://aicte-india.org,Fellowship for PhD in AICTE institutes
85,SERB National Post Doctoral Fellowship,No Limit,Research,80,₹55000/month,PhD Certificate; Research Proposal,01-05-2026,31-07-2026,https://serbonline.in,Science and Engineering Research Board,https://serbonline.in,Postdoctoral research funding
86,CSIR Junior Research Fellowship,No Limit,Science,70,₹31000/month,NET Scorecard; Aadhaar,01-06-2026,30-09-2026,https://csirhrdg.res.in,Council of Scientific and Industrial Research,https://csirhrdg.res.in,Research fellowship in science
87,DBT Junior Research Fellowship,No Limit,Biotechnology,70,₹31000/month,Academic Records; Entrance Score,01-05-2026,31-07-2026,https://dbtindia.gov.in,Department of Biotechnology India,https://dbtindia.gov.in,Fellowship in biotechnology
88,ICMR Junior Research Fellowship,No Limit,Medical,70,₹31000/month,Entrance Score; Academic Records,01-05-2026,31-07-2026,https://icmr.nic.in,Indian Council of Medical Research,https://icmr.nic.in,Medical research fellowship
89,Google Women Techmakers Scholarship,No Limit,Girls,75,$1000,Academic; Essay,01-04-2026,30-06-2026,https://buildyourfuture.withgoogle.com,Google,https://buildyourfuture.withgoogle.com,For women in tech
90,Amazon Future Engineer Scholarship,300000,All,70,₹40000/year,Income; Academic Records,01-06-2026,31-08-2026,https://www.amazonfutureengineer.com,Amazon,https://www.amazonfutureengineer.com,Scholarship for CS students
91,Facebook (Meta) Fellowship Program,No Limit,Tech,80,Full funding,Research Proposal; CV,01-08-2026,15-10-2026,https://research.facebook.com,Meta,https://research.facebook.com,Fellowship for advanced tech research
92,Adobe India Women-in-Technology Scholarship,No Limit,Girls,75,"₹ 1,00,000",Academic; Essay,01-05-2026,31-07-2026,https://www.adobe.com,Adobe,https://www.adobe.com,Scholarship for women engineers
93,Flipkart Foundation Scholarship,300000,All,60,₹50000/year,Income; Academic Records,01-06-2026,31-08-2026,https://www.flipkartfoundation.org,Flipkart Foundation,https://www.flipkartfoundation.org,Support for underprivileged students
94,JSW Udaan Scholarship,800000,All,60,₹50000/year,Income; Academic Records,01-07-2026,30-09-2026,https://www.jsw.in,JSW Group,https://www.jsw.in,Scholarship for higher education
95,Mahindra All India Talent Scholarship,200000,Diploma,55,₹10000/year,Income; Marksheet,01-06-2026,31-08-2026,https://www.mahindra.com,Mahindra Group,https://www.mahindra.com,For diploma students
96,Foundation for Excellence Scholarship,300000,Engineering,70,₹50000/year,Income; Academic Records,01-06-2026,30-09-2026,https://ffe.org,Foundation for Excellence,https://ffe.org,Aid for engineering students
97,L&T Build India Scholarship,No Limit,Engineering,75,Full funding + job,Academic Records,01-07-2026,30-09-2026,https://www.larsentoubro.com,Larsen & Toubro,https://www.larsentoubro.com,Scholarship with job opportunity
98,SBI Youth for India Fellowship,No Limit,All,65,₹16000/month,Graduation Certificate; Essay,01-04-2026,15-06-2026,https://www.youthforindia.org,State Bank of India,https://www.youthforindia.org,Rural development fellowship
99,Teach for India Fellowship,No Limit,All,60,₹20000/month,Graduation; Interview,01-01-2026,31-03-2026,https://www.teachforindia.org,Teach For India,https://www.teachforindia.org,Teaching fellowship program
100,Azim Premji Foundation Scholarship,300000,All,65,₹30000/year,Income; Academic Records,01-06-2026,31-08-2026,Azim Premji Foundation,https://azimpremjifoundation.org,Support for education students,
101,Vidyasaarathi Scholarship Program,500000,All,60,₹40000/year,Income; Academic Records,01-06-2026,30-09-2026,https://www.vidyasaarathi.co.in,Vidyasaarathi Portal,https://www.vidyasaarathi.co.in,Corporate-funded scholarships
102,Buddy4Study Scholarship Program,600000,All,55,₹20000/year,Income; Academic Records,01-06-2026,30-09-2026,https://www.buddy4study.com,Buddy4Study,https://www.buddy4study.com,Scholarship aggregator platform
103,Keep India Smiling Scholarship,500000,All,60,₹30000/year,Income; Academic Records,01-06-2026,31-08-2026,https://www.colgate.com,Colgate-Palmolive,https://www.colgate.com,Scholarship initiative by Colgate
104,Top Class Education Scheme for ST Students,600000,ST,60,Full tuition + stipend,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Tribal Affairs,https://scholarships.gov.in,For ST students in top institutions
