S.NO.,Name,Income_Limit,Category,Min_marks,Benefits,Documents Required,Start_date,End_date,Apply_link,Source_name,Source_link,Description
105,Dr Ambedkar Post Matric Scholarship,250000,SC,55,Fee reimbursement + stipend,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Post matric support for SC students
106,Pre Matric Scholarship for ST Students,200000,ST,50,₹600/month,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Tribal Affairs,https://scholarships.gov.in,School-level support for ST
107,Post Matric Scholarship for Minority Students,200000,Minority,55,₹10000/year,Aadhaar; Income; Minority Cert,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Higher education support
108,EBC Scholarship Scheme (Central),800000,EBC,60,₹15000/year,Aadhaar; Income,01-06-2026,30-09-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,For economically backward class
109,National Overseas Scholarship for ST Students,600000,ST,65,Full funding abroad,Passport; Income; Caste,01-03-2026,31-05-2026,https://overseas.tribal.gov.in,Ministry of Tribal Affairs,https://overseas.tribal.gov.in,Study abroad scheme for ST
110,Free Coaching Scheme for SC Students,300000,SC,50,Coaching + stipend,Aadhaar; Income; Caste,01-05-2026,31-07-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Coaching support for SC students
111,OBC Pre Matric Scholarship Scheme,250000,OBC,50,₹400/month,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,School support for OBC
112,OBC Post Graduate Scholarship,300000,OBC,60,₹20000/year,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,PG support for OBC students
113,Minority Merit Scholarship (Central),250000,Minority,60,₹15000/year,Aadhaar; Income; Minority Cert,01-06-2026,31-08-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Merit-based minority scholarship
114,SC Students Skill Development Scheme,300000,SC,50,Training + stipend,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://nsdcindia.org,National Skill Development Corporation,https://nsdcindia.org,Skill-based financial support
115,ST Students Skill Enhancement Scheme,300000,ST,50,Training + stipend,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://nsdcindia.org,National Skill Development Corporation,https://nsdcindia.org,Skill development for ST students
116,OBC Skill Development Scholarship,300000,OBC,50,₹10000/year,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://nsdcindia.org,National Skill Development Corporation,https://nsdcindia.org,Skill development scheme
117,Minority Skill Training Scholarship,300000,Minority,50,₹12000/year,Aadhaar; Income; Minority Cert,01-04-2026,31-07-2026,https://nsdcindia.org,Ministry of Minority Affairs,https://nsdcindia.org,Skill training for minority
118,EBC Coaching Assistance Scheme,400000,EBC,55,₹15000/year,Aadhaar; Income,01-05-2026,31-08-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Coaching support for EBC
119,National Fellowship for Higher Education of ST Students,No Limit,ST,65,₹31000/month + HRA,Aadhaar; Caste; Academic Records,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Tribal Affairs,https://scholarships.gov.in,Fellowship for ST students pursuing higher studies
120,Special Central Assistance Scholarship (SC),300000,SC,55,₹20000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Financial support for SC students
121,OBC Higher Education Support Scheme,400000,OBC,60,₹25000/year,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Support for OBC higher education
122,Minority Girls Scholarship Scheme,250000,Minority,60,₹15000/year,Aadhaar; Income; Minority Cert,01-06-2026,31-08-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,For minority girl students
123,EBC Higher Education Scholarship,500000,EBC,65,₹20000/year,Aadhaar; Income,01-06-2026,30-09-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Support for economically backward students
124,SC Overseas Education Assistance Scheme,800000,SC,70,Full funding abroad,Passport; Income; Caste,01-03-2026,31-05-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Study abroad support for SC students
125,ST Overseas Education Assistance Scheme,800000,ST,70,Full funding abroad,Passport; Income; Caste,01-03-2026,31-05-2026,https://scholarships.gov.in,Ministry of Tribal Affairs,https://scholarships.gov.in,Study abroad support for ST students
126,OBC Overseas Education Assistance Scheme,800000,OBC,70,Full funding abroad,Passport; Income; Caste,01-03-2026,31-05-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Study abroad support for OBC students
127,Minority Overseas Scholarship Scheme,800000,Minority,70,Full funding abroad,Passport; Income; Minority Cert,01-03-2026,31-05-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Overseas study for minority students
128,EBC Overseas Scholarship Scheme,800000,EBC,70,Full funding abroad,Passport; Income,01-03-2026,31-05-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Study abroad for EBC students
129,SC Hostels Maintenance Scholarship Scheme,200000,SC,50,₹1000/month,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Hostel support for SC students
130,ST Residential Education Support Scheme,200000,ST,50,₹1200/month,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Residential education support for ST
131,OBC Hostel Fee Reimbursement Scheme,250000,OBC,55,Hostel fee reimbursement,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Hostel assistance for OBC students
132,Minority Residential Scholarship Scheme,250000,Minority,55,₹15000/year,Aadhaar; Income; Minority Cert,01-06-2026,31-08-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Residential support for minority
133,EBC Hostel Assistance Scheme,300000,EBC,55,₹12000/year,Aadhaar; Income,01-06-2026,30-09-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Hostel support for EBC students
134,SC Book Bank Scholarship Scheme,200000,SC,50,Free textbooks,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Provides books for SC students
135,ST Book Grant Scholarship Scheme,200000,ST,50,₹3000/year,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Book grants for ST students
136,OBC Book Assistance Scheme,250000,OBC,50,₹2500/year,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Academic support for OBC
137,Minority Book Support Scheme,250000,Minority,50,₹3000/year,Aadhaar; Income; Minority Cert,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Educational support for minority
138,EBC Book Grant Scheme,300000,EBC,50,₹2000/year,Aadhaar; Income,01-05-2026,31-08-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Books support for EBC students
139,SC Competitive Exam Support Scheme,300000,SC,60,₹20000/year,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Support for competitive exams
140,ST Competitive Coaching Scheme,300000,ST,60,₹20000/year,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Coaching for ST students
141,OBC Competitive Exam Scholarship,300000,OBC,60,₹15000/year,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Exam prep support
142,Minority Competitive Exam Scheme,300000,Minority,60,₹15000/year,Aadhaar; Income; Minority Cert,01-04-2026,31-07-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Coaching support
143,EBC Competitive Support Scheme,350000,EBC,60,₹15000/year,Aadhaar; Income,01-04-2026,31-07-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Competitive exam assistance
144,SC Digital Learning Scholarship,300000,SC,60,₹15000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Support for digital education
145,ST Digital Access Scholarship,300000,ST,60,₹15000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Digital learning support
146,OBC Digital Education Scheme,350000,OBC,60,₹12000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Tech-based support
147,Minority Digital Scholarship,300000,Minority,60,₹12000/year,Aadhaar; Income; Minority Cert,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Digital access for minorities
148,EBC Digital Access Scheme,350000,EBC,60,₹10000/year,Aadhaar; Income,01-06-2026,30-09-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Digital learning aid
149,SC Higher Studies Incentive Scheme,400000,SC,65,₹25000/year,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Incentives for higher studies
150,ST Higher Education Support Scheme,400000,ST,65,₹25000/year,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Higher education support
151,OBC Advanced Studies Scholarship,450000,OBC,65,₹20000/year,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Advanced study support
152,Minority Higher Education Grant,400000,Minority,65,₹20000/year,Aadhaar; Income; Minority Cert,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Support for higher education
153,EBC Academic Excellence Scholarship,500000,EBC,70,₹20000/year,Aadhaar; Income,01-07-2026,15-10-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Merit-based support
154,SC Skill Internship Scheme,300000,SC,55,₹10000 stipend,Aadhaar; Income; Caste,01-05-2026,31-07-2026,https://nsdcindia.org,National Skill Development Corporation,https://nsdcindia.org,Internship-based support
155,ST Skill Internship Scheme,300000,ST,55,₹10000 stipend,Aadhaar; Income; Caste,01-05-2026,31-07-2026,https://nsdcindia.org,National Skill Development Corporation,https://nsdcindia.org,Internship support
156,OBC Internship Scholarship Scheme,300000,OBC,55,₹8000 stipend,Aadhaar; Income; Caste,01-05-2026,31-07-2026,https://nsdcindia.org,National Skill Development Corporation,https://nsdcindia.org,Internship support
157,Minority Internship Support Scheme,300000,Minority,55,₹8000 stipend,Aadhaar; Income; Minority Cert,01-05-2026,31-07-2026,https://nsdcindia.org,Ministry of Minority Affairs,https://nsdcindia.org,Internship training
158,EBC Internship Assistance Scheme,350000,EBC,55,₹8000 stipend,Aadhaar; Income,01-05-2026,31-07-2026,https://nsdcindia.org,National Scholarship Portal,https://scholarships.gov.in,Internship support
159,SC Transport Allowance Scholarship,200000,SC,50,₹5000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Travel allowance
160,ST Transport Allowance Scheme,200000,ST,50,₹5000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Travel support
161,OBC Transport Support Scheme,250000,OBC,50,₹4000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Transport allowance
162,Minority Travel Scholarship,250000,Minority,50,₹4000/year,Aadhaar; Income; Minority Cert,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Travel support
163,EBC Transport Grant Scheme,300000,EBC,50,₹4000/year,Aadhaar; Income,01-06-2026,30-09-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Transport support
164,SC Laptop Assistance Scheme,300000,SC,60,Free laptop,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Provides laptops to SC students
165,ST Laptop Distribution Scheme,300000,ST,60,Free laptop,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Laptop support for ST students
166,OBC Laptop Subsidy Scheme,350000,OBC,60,₹20000 subsidy,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Laptop subsidy for OBC
167,Minority Laptop Assistance Program,300000,Minority,60,₹20000 subsidy,Aadhaar; Income; Minority Cert,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Digital support scheme
168,EBC Laptop Grant Scheme,350000,EBC,60,₹15000 subsidy,Aadhaar; Income,01-06-2026,30-09-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Device support for EBC
169,SC Girls Education Incentive,250000,SC,65,₹20000/year,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Incentives for SC girls
170,ST Girls Education Scheme,250000,ST,65,₹20000/year,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Education support for ST girls
171,OBC Girls Scholarship Scheme,300000,OBC,65,₹15000/year,Aadhaar; Income; Caste,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,For OBC girl students
172,Minority Girls Incentive Scheme,250000,Minority,65,₹15000/year,Aadhaar; Income; Minority Cert,01-07-2026,15-10-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Support for minority girls
173,EBC Girls Scholarship Scheme,300000,EBC,65,₹12000/year,Aadhaar; Income,01-07-2026,15-10-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Education support
174,SC Research Support Grant,No Limit,SC,70,₹30000/year,Aadhaar; Academic; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Research funding
175,ST Research Fellowship Grant,No Limit,ST,70,₹30000/year,Aadhaar; Academic; Caste,01-06-2026,30-09-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Research support
176,OBC Research Assistance Scheme,No Limit,OBC,70,₹25000/year,Aadhaar; Academic; Caste,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Research assistance
177,Minority Research Grant Scheme,No Limit,Minority,70,₹25000/year,Aadhaar; Academic; Minority Cert,01-06-2026,30-09-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Research funding
178,EBC Research Support Scheme,No Limit,EBC,70,₹20000/year,Aadhaar; Academic,01-06-2026,30-09-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Research assistance
179,SC Entrance Exam Fee Reimbursement Scheme,250000,SC,50,Exam fee reimbursement,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Covers entrance exam fees
180,ST Entrance Exam Support Scheme,250000,ST,50,Exam fee reimbursement,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Financial support for exams
181,OBC Entrance Assistance Scheme,300000,OBC,50,₹3000 reimbursement,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Entrance fee support
182,Minority Entrance Exam Scheme,250000,Minority,50,₹3000 reimbursement,Aadhaar; Income; Minority Cert,01-04-2026,31-07-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Exam support
183,EBC Entrance Support Scheme,300000,EBC,50,₹3000 reimbursement,Aadhaar; Income,01-04-2026,31-07-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Entrance fee support
184,SC Internship Travel Allowance Scheme,300000,SC,55,₹8000/year,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Travel support for internships
185,ST Internship Travel Grant,300000,ST,55,₹8000/year,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Internship mobility support
186,OBC Internship Mobility Scheme,350000,OBC,55,₹7000/year,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Internship assistance
187,Minority Internship Travel Scheme,300000,Minority,55,₹7000/year,Aadhaar; Income; Minority Cert,01-05-2026,31-08-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Travel allowance
188,EBC Internship Mobility Grant,350000,EBC,55,₹6000/year,Aadhaar; Income,01-05-2026,31-08-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Internship support
189,SC Study Abroad Preparation Scheme,500000,SC,70,₹30000/year,Aadhaar; Income; Caste,01-03-2026,30-06-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Prepares students for abroad
190,ST Study Abroad Preparation Scheme,500000,ST,70,₹30000/year,Aadhaar; Income; Caste,01-03-2026,30-06-2026,https://tribal.nic.in,Ministry of Tribal Affairs,https://tribal.nic.in,Abroad preparation
191,OBC Study Abroad Preparation Scheme,600000,OBC,70,₹25000/year,Aadhaar; Income; Caste,01-03-2026,30-06-2026,https://scholarships.gov.in,Ministry of Social Justice and Empowerment,https://scholarships.gov.in,Pre-study support
192,Minority Study Abroad Prep Scheme,500000,Minority,70,₹25000/year,Aadhaar; Income; Minority Cert,01-03-2026,30-06-2026,https://scholarships.gov.in,Ministry of Minority Affairs,https://scholarships.gov.in,Study abroad preparation
193,EBC Study Abroad Prep Scheme,600000,EBC,70,₹20000/year,Aadhaar; Income,01-03-2026,30-06-2026,https://scholarships.gov.in,National Scholarship Portal,https://scholarships.gov.in,Abroad preparation support
194,Telangana Pre-Matric Scholarship for SC Students,200000,SC,50,₹800/month,Aadhaar; Income; Caste; School Certificate,01-05-2026,31-08-2026,https://telanganaepass.cgg.gov.in,Telangana ePASS,https://telanganaepass.cgg.gov.in,Financial support for SC school students
195,Telangana Pre-Matric Scholarship for ST Students,200000,ST,50,₹800/month,Aadhaar; Income; Caste; School Certificate,01-05-2026,31-08-2026,https://telanganaepass.cgg.gov.in,Telangana ePASS,https://telanganaepass.cgg.gov.in,School-level aid for ST students
196,Telangana Pre-Matric Scholarship for BC Students,150000,OBC,50,₹700/month,Aadhaar; Income; Caste,01-05-2026,31-08-2026,https://telanganaepass.cgg.gov.in,Backward Classes Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Support for BC students
197,Telangana Merit Scholarship for SC Students,250000,SC,75,₹15000/year,Aadhaar; Income; Caste; Marksheet,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Scheduled Castes Development Department Telangana,https://telanganaepass.cgg.gov.in,Merit-based support for SC
198,Telangana Merit Scholarship for ST Students,250000,ST,75,₹15000/year,Aadhaar; Income; Caste; Marksheet,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Ministry of Tribal Affairs,https://telanganaepass.cgg.gov.in,Merit-based support for ST
199,Telangana Merit Scholarship for BC Students,250000,OBC,75,₹12000/year,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Backward Classes Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Merit-based scholarship
200,Telangana Minority Merit Scholarship,200000,Minority,70,₹12000/year,Aadhaar; Income; Minority Cert,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Minorities Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Merit support for minority students
201,Telangana SC Hostel Scholarship,200000,SC,50,Free hostel + food,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Scheduled Castes Development Department Telangana,https://telanganaepass.cgg.gov.in,Hostel facility for SC students
202,Telangana ST Hostel Scholarship,200000,ST,50,Free hostel + food,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Ministry of Tribal Affairs,https://telanganaepass.cgg.gov.in,Hostel support for ST
203,Telangana BC Hostel Scholarship,150000,OBC,50,Free hostel,Aadhaar; Income; Caste,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Backward Classes Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Hostel support for BC
204,Telangana Minority Hostel Scheme,200000,Minority,50,Free hostel,Aadhaar; Income; Minority Cert,01-06-2026,30-09-2026,https://telanganaepass.cgg.gov.in,Minorities Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Hostel support for minorities
205,Telangana SC Skill Training Scholarship,300000,SC,50,Free training + stipend,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://telanganaepass.cgg.gov.in,Telangana Government,https://telanganaepass.cgg.gov.in,Skill development program
206,Telangana ST Skill Development Scheme,300000,ST,50,Training + stipend,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://telanganaepass.cgg.gov.in,Telangana Government,https://telanganaepass.cgg.gov.in,Skill support for ST
207,Telangana BC Skill Scholarship,300000,OBC,50,₹10000/year,Aadhaar; Income; Caste,01-04-2026,31-07-2026,https://telanganaepass.cgg.gov.in,Backward Classes Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Skill-based support
208,Telangana Minority Skill Scholarship,300000,Minority,50,₹10000/year,Aadhaar; Income; Minority Cert,01-04-2026,31-07-2026,https://telanganaepass.cgg.gov.in,Minorities Welfare Department Telangana,https://telanganaepass.cgg.gov.in,Skill development scheme
